the_version,non_the_version,the_count,non_the_count
The Coalition to End Family Violence,Coalition to End Family Violence,3,5
The HELP Group,Help Group,3,5
The Jockey Guild,Jockey Guild,3,5
The Long Beach Area Chamber of Commerce,Long Beach Area Chamber Of Commerce,3,5
The Los Angeles Coalition for the Economy & Jobs,Los Angeles Coalition for the Economy & Jobs,3,5
The Media,Media,3,5
The Peterson Family,Peterson Family,3,5
The Soap & Detergent Association,Soap & Detergent Association,3,5
the Center for Progressive Reform,Center for Progressive Reform,3,5
The Alliance for Community Media,Alliance for Community Media,2,6
"The American Federation of Teachers, Local 1931","American Federation of Teachers, Local 1931",2,6
The California Chapter of the American College,California Chapter of the American College,2,6
The California Trucking Association (CTA),California Trucking Association (CTA),2,6
The Cambria Land Trust,Cambria Land Trust,2,6
The Coalition to End Sexual and Domestic Violence,Coalition to End Sexual and Domestic Violence,2,6
The Distance Learning Company,Distance Learning Company,2,6
The Family Winemakers of California,Family Winemakers Of California,2,6
The Humane,Humane,2,6
The Justice & Diversity Center of The Bar Association of San Francisco,Justice & Diversity Center of the Bar Association of San Francisco,2,6
The Los Angeles Alliance for a Drug Free Community,Los Angeles Alliance for a Drug Free Community,2,6
The Mutual,Mutual,2,6
The National Italian American Foundation,National Italian American Foundation,2,6
The Prisoner Hunger Strike Solidarity Coalition,Prisoner Hunger Strike Solidarity Coalition,2,6
The Torrance Area Chamber of Commerce,Torrance Area Chamber Of Commerce,2,6
the Bell's Healdsburg Ambulance Service,Bell's Healdsburg Ambulance Service,2,6
the Centro Del Pueblo,Centro Del Pueblo,2,6
The Acupuncture and Integrated Medicine Specialists,Acupuncture and Integrated Medicine Specialists,1,7
The Amber Foundation,Amber Foundation,1,7
"The American Federation Of State, County, Municipal Employees (AFSCME)","American Federation of State, County, Municipal Employees (AFSCME)",1,7
The CHA,CHA,1,7
The California Association of RV Parks and Campgrounds,California Association of RV Parks and Campgrounds,1,7
The California Chiropractic,California Chiropractic,1,7
The California Council for Adult Education,California Council For Adult Education,1,7
The California Major Risk Medical Insurance Board,California Major Risk Medical Insurance Board,1,7
The Center on Reproductive Rights and Justice at Berkeley Law,Center on Reproductive Rights and Justice At Berkeley Law,1,7
The Council of State Governments,Council of State Governments,1,7
The Department of Information Technology,Department of Information Technology,1,7
The Disease Management Association of America,Disease Management Association of America,1,7
The El Cajon Municipal Court,El Cajon Municipal Court,1,7
The Fathers' Rights and Equality Exchange,Fathers' Rights and Equality Exchange,1,7
The Fish Sniffer,Fish Sniffer,1,7
The National Association of Insurance and Financial Advisors of California (NAIFA-California),National Association of Insurance and Financial Advisors of California (NAIFA-California),1,7
The National Cartoonists Society,National Cartoonists Society,1,7
The Pacific Coast Legacy Emissions Action Network,Pacific Coast Legacy Emissions Action Network,1,7
The Personal Assistance Services Council of Los Angeles County,Personal Assistance Services Council of Los Angeles County,1,7
The Professional Engineers in California Government,Professional Engineers In California Government,1,7
The Sacramento Food Bank and Family Services,Sacramento Food Bank and Family Services,1,7
The San Mateo County Democratic Party,San Mateo County Democratic Party,1,7
The Sheriff of Alameda County,Sheriff of Alameda County,1,7
The Sheriff of Santa Cruz County,Sheriff of Santa Cruz County,1,7
The Sheriff of Shasta County,Sheriff of Shasta County,1,7
The Statewide Taskforce on Accessing Health Services for California Children in Foster Care,Statewide Taskforce on Accessing Health Services for California Children in Foster Care,1,7
"The United Transportation Union, AFL-CIO","United Transportation Union, AFL-CIO",1,7
The University of California Student Association,University Of California Student Association,1,7
the CA Rethink Disposables,CA Rethink Disposables,1,7
the California Statewide Law,California Statewide Law,1,7
the Climate Reality Project,Climate Reality Project,1,7
the Compassion & Choices Action Network,Compassion & Choices Action Network,1,7
the Jewish Federation,Jewish Federation,1,7
the League of Women Voters of California,League of Women Voters Of California,1,7
the National Association of Minority Contractors,National Association of Minority Contractors,1,7
the Peninsula,Peninsula,1,7
the Professional Engineers in California Government,Professional Engineers In California Government,1,7
The Adult Skills Center,Adult Skills Center,6,1
The Association of Settlement Companies,Association of Settlement Companies,6,1
The Atrium,Atrium,6,1
The Avanti Foundation,Avanti Foundation,6,1
The Bail Project,Bail Project,6,1
The Blue Star Moms,Blue star moms,6,1
The California Association of Food Banks,California Association of food Banks,6,1
The California Association of Licensed Investigators,California Association Of Licensed Investigators,6,1
The California Law Revision Commission,California law Revision Commission,6,1
The Center for Environmental Health,CENTER FOR ENVIRONMENTAL HEALTH,6,1
The Children's Center of the Antelope Valley,Children's Center of the Antelope Valley,6,1
The Children's Movement of California,Children's Movement of California,6,1
The Commission on Teacher Credentialing,Commission On Teacher Credentialing,6,1
The Consumer Attorneys of California,CONSUMER ATTORNEYS OF CALIFORNIA,6,1
The Friends of Tierrasanta Canyons,Friends of Tierrasanta Canyons,6,1
The Greater Los Angeles African American Chamber of Commerce,Greater Los Angeles African American Chamber Of Commerce,6,1
The Hollywood Schoolhouse,Hollywood Schoolhouse,6,1
The LGBTQ Community Center of The Desert,LGBTQ Community Center of the Desert,6,1
The Laogai Research Foundation,Laogai Research Foundation,6,1
The Los Angeles Trust For Children's Health,Los Angeles Trust For Children's Health,6,1
The Older Women's League,OLDER WOMEN'S LEAGUE,6,1
The Older Women's League of California,OLDER Women's League of California,6,1
The San Francisco Consortium for Elder Abuse Prevention,San Francisco Consortium for Elder Abuse Prevention,6,1
The Solis Group,Solis Group,6,1
the Association of Regional Center Agencies,Association Of Regional Center Agencies,6,1
The Arc and Cerebral Palsy California Collaboration,Arc and Cerebral Palsy California Collaboration,5,2
The Body Shop,Body Shop,5,2
The Executive Committee of the Trusts and Estates Section of the State Bar,Executive Committee of the Trusts and Estates Section of the State Bar,5,2
The Intersection of Faith and Culture,Intersection of Faith and Culture,5,2
The J. Paul Getty Trust,J. Paul Getty Trust,5,2
The Jed Foundation,JED Foundation,5,2
The Leap Institute,LEAP Institute,5,2
The Life Group LA,Life Group LA,5,2
"The Money Store, Inc","Money Store, Inc",5,2
The Music Center,Music Center,5,2
The Phluid Project,Phluid Project,5,2
The Santa Clara County Board of Supervisors,Santa Clara County Board Of Supervisors,5,2
"The Villa Center, Inc","Villa Center, Inc",5,2
The Willows,Willows,5,2
The ARC of California,Arc Of California,4,3
The Arc of San Diego,Arc of San Diego,4,3
The Baptist Ministers Conference of Los Angeles and Southern California,Baptist Ministers Conference of Los Angeles and Southern California,4,3
The Cahto Tribe of the Laytonville Rancheria,Cahto Tribe of The Laytonville Rancheria,4,3
The California Association for Health Services at Home,California Association for Health Services AT Home,4,3
The California National Organization for Women,California National Organization For Women,4,3
"The California Probation, Parole and Correctional Association","California Probation, Parole And Correctional Association",4,3
The Chamber of Commerce for Greater Brawley,Chamber of Commerce for Greater Brawley,4,3
The Crop Organization,CROP Organization,4,3
The Education Coalition,Education Coalition,4,3
The Joyful Child Foundation,Joyful Child Foundation,4,3
The Kings Fair,Kings Fair,4,3
The Law Foundation of Silicone Valley,Law Foundation of Silicone Valley,4,3
The Lunada Bay Corporation,Lunada Bay Corporation,4,3
The Union Ice Company,Union Ice Company,4,3
"The Urban Wildlands Group, Inc","Urban Wildlands Group, Inc",4,3
The Voice of Citizens Together,Voice of Citizens Together,4,3
The Women's Building of San Francisco,Women's Building of San Francisco,4,3
"The America Federation of State, County and Municipal Employees","America Federation of State, County and Municipal Employees",3,4
The American Brotherhood Aimed Toward Education,American Brotherhood Aimed Toward Education,3,4
The American Society for the Prevention of Cruelty to,American Society for the Prevention of Cruelty to,3,4
The Association of California Water Agencies,Association Of California Water Agencies,3,4
"The Climate Reality Project, Los Angeles","Climate Reality Project, Los Angeles",3,4
The Frostig Center,Frostig Center,3,4
The Lamba Letters Project,Lamba Letters Project,3,4
The Mechanical Contractors of Southern California,Mechanical Contractors of Southern California,3,4
"The National Gay and Lesbian Task Force, Inc","National Gay and Lesbian Task Force, Inc",3,4
The Nela Climate Collective,NELA Climate Collective,3,4
The Office of the City Attorney of Los Angeles,Office of the City Attorney of Los Angeles,3,4
The Peace Officers Research Association of California,Peace Officers Research Association Of California,3,4
The Proctor & Gamble Company,Proctor & Gamble Company,3,4
The Richstone Family Center,Richstone Family Center,3,4
The SIA Legal Team,SIA Legal Team,3,4
The Stop Hidden Taxes Coalition,STOP Hidden Taxes Coalition,3,4
The Tehama Colusa Canal Authority,Tehama Colusa Canal Authority,3,4
The United Coalition for Motor Club Safety,United Coalition for Motor Club Safety,3,4
the Clean Water Action,CLEAN WATER ACTION,3,4
"the Vons Companies, Inc","Vons Companies, Inc",3,4
The American College,American College,2,5
The Armenian American Republican Council,Armenian American Republican Council,2,5
The Black Leadership Kitchen Cabinet,Black Leadership Kitchen Cabinet,2,5
