conjoined_text,mapped_orgs
"Cities of: Alhambra, Arcadia, Carson, Cerritos, Claremont, Diamond Bar, Downey, Glendora, Industry, Lakewood, Lomita, Long Beach, Monterey Park, Norwalk, Palos Verdes Estates, Pasadena, Rancho Palos Verdes, Rosemead, San Dimas, Sierra Madre, Signal Hill, South El Monte, South Gate, Torrance, Walnut, West Covina, Whittier",City of Alhambra ; City of Arcadia ; City of Carson ; City of Cerritos ; City of Claremont ; City of Diamond Bar ; City of Downey ; City of Glendora ; City of Industry ; City of Lakewood ; City of Lomita ; City of Long Beach ; City of Monterey Park ; City of Norwalk ; City of Palos Verdes Estates ; City of Pasadena ; City of Rancho Palos Verdes ; City of Rosemead ; City of San Dimas ; City of Sierra Madre ; City of Signal Hill ; City of South El Monte ; City of South Gate ; City of Torrance ; City of Walnut ; City of West Covina ; City of Whittier
Cities of: Anaheim Buena Park Coronado Fullerton Garden Grove La Palma Newport Beach Orange So. Villa Park Huntington Beach,City of Anaheim ; City of Buena Park ; City of Coronado ; City of Fullerton ; City of Garden Grove ; City of La Palma ; City of Newport Beach ; City of Orange ; City of Villa Park ; City of Huntington Beach
Cities of: Cerritos Dana Point El Cajon Glendale Hesperia Laguna Hills Lakewood Los Angeles Palm Springs Poway San Bernardino San Luis Obispo Seal Beach Stockton,City of Cerritos ; City of Dana Point ; City of El Cajon ; City of Glendale ; City of Hesperia ; City of Laguna Hills ; City of Lakewood ; City of Los Angeles ; City of Palm Springs ; City of Poway ; City of San Bernardino ; City of San Luis Obispo ; City of Seal Beach ; City of Stockton
Cities of: La Quinta Palm Springs Rancho Cucamonga San Diego San Joaquin San Juan Capistrano Santa Barbara Santa Maria Walnut Creek SUPPORT,City of La Quinta ; City of Palm Springs ; City of Rancho Cucamonga ; City of San Diego ; City of San Joaquin ; City of San Juan Capistrano ; City of Santa Barbara ; City of Santa Maria ; City of Walnut Creek
"Cities, Cities of Helmet, Merced, Rosemead, Southern California Association of Governments",City of Hemet ; City of Merced ; City of Rosemead ; Southern California Association of Governments
"Cities, Southern California Edison, The Boeing",Southern California Edison ; The Boeing Company
Citrus Heights City of Chula Vista,City of Citrus Heights ; City of Chula Vista
City Culver City Cypress Dana Point Danville,City of Culver City ; City of Cypress ; City of Dana Point ; City of Danville
City Police Departments of: El Cajon Escondido Galt Los Altos San Diego,City of El Cajon Police Department ; City of Escondido Police Department ; City of Galt Police Department ; City of Los Altos Police Department ; City of San Diego Police Department
City of Alemeda Buena Park Carson Cathedral Ceres Cerritos Chula Vista Concord Corning Covina Downey Duarte Dublin Dunsmuir El Cajon Escondido El Monte Gilroy Glendale Huntington Park Indio Lancaster Livermore Loma Linda Monrovia Newport Beach National City Norco Oakland,City of Alameda ; City of Buena Park ; City of Carson ; City of Cathedral City ; City of Ceres ; City of Cerritos ; City of Chula Vista ; City of Concord ; City of Corning ; City of Covina ; City of Downey ; City of Duarte ; City of Dublin ; City of Dunsmuir ; City of El Cajon ; City of Escondido ; City of El Monte ; City of Gilroy ; City of Glendale ; City of Huntington Park ; City of Indio ; City of Lancaster ; City of Livermore ; City of Loma Linda ; City of Monrovia ; City of Newport Beach ; City of National City ; City of Norco ; City of Oakland
"City of Alhambra: Arcadia, Azusa, Bellflower, Burbank, Carson, Cerritos, Claremont, Concord, Coronado , Culver City, Desert Hot Springs, Fairfield, Fountain Valley, Fremont, Garden Grove, Glendora, Hesperia, Lake Forest, Lakewood, La Mirada, La Puente, Los Angeles, Monrovia, Montclair, Monterey Park, Norco Redevelopment Agency, Norwalk, Oakland, Oroville, Palm Desert, Paramount, Pasadena, Pinole Pittsburg, Pomona, Poway, Rialto, Rosemead, Roseville",City of Alhambra ; City of Arcadia ; City of Azusa ; City of Bellflower ; City of Burbank ; City of Carson ; City of Cerritos ; City of Claremont ; City of Concord ; City of Coronado ; City of Culver City ; City of Desert Hot Springs ; City of Fairfield ; City of Fountain Valley ; City of Fremont ; City of Garden Grove ; City of Glendora ; City of Hesperia ; City of Lake Forest ; City of Lakewood ; City of La Mirada ; City of La Puente ; City of Los Angeles ; City of Monrovia ; City of Montclair ; City of Monterey Park ; Norco Redevelopment Agency ; City of Norwalk ; City of Oakland ; City of Oroville ; City of Palm Desert ; City of Paramount ; City of Pasadena ; City of Pinole ; City of Pittsburg ; City of Pomona ; City of Poway ; City of Rialto ; City of Rosemead ; City of Roseville
City of Anaheim Buena Park Coronado Garden Grove La Palma Newport Beach Orange Villa Park Westminster,City of Anaheim ; City of Buena Park ; City of Coronado ; City of Garden Grove ; City of La Palma ; City of Newport Beach ; City of Orange ; City of Villa Park ; City of Westminster
City of Arroyo Grande Palos Verdes Estates San Buenaventura,City of Arroyo Grande ; City of Palos Verdes Estates ; City of San Buenaventura
City of Bell Gardens Chula Vista Dana Point Fountain Valley Menlo Park National City Newport Beach Palo Alto Rancho Cucamonga San Jose San Mateo Santa Barbara,City of Bell Gardens ; City of Chula Vista ; City of Dana Point ; City of Fountain Valley ; City of Menlo Park ; City of National City ; City of Newport Beach ; City of Palo Alto ; City of Rancho Cucamonga ; City of San Jose ; City of San Mateo ; City of Santa Barbara
City of Buena Park Ceres Duarte La Quinta Livermore Merced Modesto Palm Springs Poway Rancho Cucamonga Santa Barbara Santa Maria Stockton,City of Buena Park ; City of Ceres ; City of Duarte ; City of La Quinta ; City of Livermore ; City of Merced ; City of Modesto ; City of Palm Springs ; City of Poway ; City of Rancho Cucamonga ; City of Santa Barbara ; City of Santa Maria ; City of Stockton
City of Buena Park La Quinta Palm Springs Rancho Cucamonga Santa Barbara Santa Maria,City of Buena Park ; City of La Quinta ; City of Palm Springs ; City of Rancho Cucamonga ; City of Santa Barbara ; City of Santa Maria
"City of Camrosa Water District Carmichael Water District City of Agoura Hills City of Point Arena City of Roseville City of Thousand Oaks City of Vernon Cleanearth4kids.org Climate Reality Project San Diego Climate Reality Project San Fernando Valley Chapter Climate Reality Project, Los Angeles Chapter Climate Reality Project, Orange County Coachella Valley Water District Crescenta Valley Water District Crestline-lake Arrowhead Water Agency Cucamonga Valley Water District Desert Water Agency East Valley Water District Eastern Municipal Water District Helix Water District Hidden Valley Lake Community Services District Jurupa Community Services District Lake Arrowhead Community Services District Los Angeles County Sanitation Districts Mendocino County Russian River Flood Control & Water Conservation Mesa Water District Metropolitan Water District of Southern California Mid-peninsula Water District Monte Vista Water District Monterey Peninsula Water Management District Olivenhain Municipal Water District Orange County Water District Paradise Irrigation District Rancho California Water District Regional Water Authority Rowland Water District San Gabriel County Water District Santa Clarita Valley Water Agency Santa Rosa","Camrosa Water District ; Carmichael Water District ; City of Agoura Hills ; City of Point Arena ; City of Roseville ; City of Thousand Oaks ; City of Vernon ; Cleanearth4kids.org ; Climate Reality Project San Diego ; Climate Reality Project San Fernando Valley Chapter ; Climate Reality Project, Los Angeles Chapter ; Climate Reality Project, Orange County ; Coachella Valley Water District ; Crescenta Valley Water District ; Crestline-Lake Arrowhead Water Agency ; Cucamonga Valley Water District ; Desert Water Agency ; East Valley Water District ; Eastern Municipal Water District ; Helix Water District ; Hidden Valley Lake Community Services District ; Jurupa Community Services District ; Lake Arrowhead Community Services District ; Los Angeles County Sanitation Districts ; Mendocino County Russian River Flood Control & Water Conservation ; Mesa Water District ; Metropolitan Water District of Southern California ; Mid-Peninsula Water District ; Monte Vista Water District ; Monterey Peninsula Water Management District ; Olivenhain Municipal Water District ; Orange County Water District ; Paradise Irrigation District ; Rancho California Water District ; Regional Water Authority ; Rowland Water District ; San Gabriel County Water District ; Santa Clarita Valley Water Agency"
